Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Faculty of Arts & Social Sci,Economics,EC5103,ECONOMETRIC MODELLING AND APPLICATIONS I,S1,50,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,EC5103,ECONOMETRIC MODELLING AND APPLICATIONS I,S2,39,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,EC5104,Mathematics for Economists,S1,40,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,EC5361,LABOUR ECONOMICS,S1,39,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,EC6316,Contract Theory and Applications,S1,50,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5101,MICROECONOMICS,SW1,75,6,6,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5102,MACROECONOMICS,S2,85,3,3,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5102,MACROECONOMICS,SW1,75,3,3,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5103,QUANTITATIVE & COMPUTING METHODS,S1,100,5,4,0,0,0,0,1
Faculty of Arts & Social Sci,Economics,ECA5103,QUANTITATIVE & COMPUTING METHODS,SW2,60,7,7,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5305,Programming for Economists,S1,45,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5305,Programming for Economists,SW1,15,12,12,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5315,FINANCIAL ECONOMETRICS,S1,50,4,4,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5333,FINANCIAL MARKETS & PORTFOLIO MANAGEMENT,S1,45,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5333,FINANCIAL MARKETS & PORTFOLIO MANAGEMENT,S2,45,3,3,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5333,FINANCIAL MARKETS & PORTFOLIO MANAGEMENT,SW1,15,6,6,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5333,FINANCIAL MARKETS & PORTFOLIO MANAGEMENT,SW2,15,3,3,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5334,CORPORATE FINANCE,S2,28,3,3,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5334,CORPORATE FINANCE,SW1,10,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5334,CORPORATE FINANCE,SW2,22,9,9,0,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5335,DERIVATIVE SECURITIES,SW1,15,32,15,0,17,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5371,Economic Growth And Development,S1,43,8,8,4,0,0,0,0
Faculty of Arts & Social Sci,Economics,ECA5371,Economic Growth And Development,SW1,12,49,12,0,37,0,0,0
