Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
Coll. of Humanities & Sciences,South Asian Studies,HSA1000,Asian Interconnections,L1,134,1,1,1,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN2102,Bioengineering Data Analysis,L1,7,4,4,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN2204,Fundamentals of Biomechanics,L1,12,1,1,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN2301,Biochemistry and Biomaterials for Bioengineers,L1,18,4,4,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN3301,Introduction To Biomaterials,L1,3,12,3,0,9,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN4102,Gerontechnology in Ageing,L1,26,9,9,2,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN4202,Biofluids Dynamics,L1,35,3,3,0,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN4203,Robotics in Rehabilitation,L1,14,23,14,0,9,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN4404,Bioelectromechanical Systems - Biomems,L1,15,20,15,0,5,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN4406,Biophotonics And Bioimaging,L1,12,10,10,2,0,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN5201,Advanced Biomaterials,L1,1,2,1,0,1,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN5203,ADVANCED TISSUE ENGINEERING,L1,6,10,6,0,4,0,0,0
Collg of Design & Engineering,Biomedical Engineering,BN5207,MEDICAL IMAGING SYSTEMS,L1,6,8,6,0,2,0,0,0
Collg of Design & Engineering,CDE Dean's Office,EG1311,Design and Make,L1,90,3,3,0,0,0,0,0
Collg of Design & Engineering,CDE Dean's Office,EG2401A,Engineering Professionalism,L1,26,102,26,0,76,0,0,0
Collg of Design & Engineering,CDE Dean's Office,EG2401A,Engineering Professionalism,L2,21,88,21,0,67,0,0,0
Collg of Design & Engineering,CDE Dean's Office,EG2501,Liveable Cities,L01,173,39,39,5,0,0,0,0
Collg of Design & Engineering,CDE Dean's Office,EG2604,Innovation Programme,L1,4,26,4,0,22,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN2116,Chemical Kinetics & Reactor Design,L1,126,8,6,0,0,0,0,2
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN2121,Chemical Engineering Thermodynamics,L1,14,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN2125,Heat & Mass Transfer,L1,113,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S1,31,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S3,19,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3102,Chemical Engineering Process Lab II,S1,23,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3121,Process Dynamics & Control,L1,19,4,4,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3124A,Fluid-Particle Systems,L1,89,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3132,Separation Processes,L1,26,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3135,"Process Safety, Health and Environment",L1,6,5,5,1,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN3421A,Process Modeling And Numerical Simulation,L1,12,6,5,0,0,0,0,1
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4118,B.Eng. Dissertation,L1,24,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4122,Process Synthesis and Simulation,L1,11,1,1,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4123R,Final Year Design Project,L1,58,5,5,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4221R,Control of Industrial Processes,L1,3,16,3,0,13,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4223R,Microelectronic Thin Films,L1,25,8,8,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4227R,Advanced Process Control,L1,4,10,4,0,6,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4238R,Chemical & Biochemical Process Modeling,L1,31,3,3,1,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4247R,Enzyme Technology,L1,23,2,2,1,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4248,Sustainable Process Development,L1,17,4,4,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN4251,Troubleshooting with Case Studies for Process Engineers,L1,1,14,1,0,13,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5111,OPTIMIZATION OF CHEMICAL PROCESSES,L1,21,3,3,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5173,DOWNSTREAM PROCESSING OF BIOCHEMICAL & PHARMACEUTICAL PRODUCTS,L1,10,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5191,Project Engineering,L1,2,7,2,0,5,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5246,Catalysis Science and Engineering,L1,3,2,2,0,0,0,0,0
Collg of Design & Engineering,Chemical & Biomolecular Eng,CN5432,Fundamentals and Applications of Porous Materials,L1,16,3,3,0,0,0,0,0
Collg of Design & Engineering,Civil & Environmental Eng,CE2155,Principles of Structural Mechanics and Materials,L01,3,1,1,0,0,0,0,0
Collg of Design & Engineering,Civil & Environmental Eng,CE3115,Geotechnical Engineering,L01,26,5,5,0,0,0,0,0
Collg of Design & Engineering,Civil & Environmental Eng,CE3132,Hydrology and Free Surface Flows,L01,17,9,9,0,0,0,0,0
