Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,25,4,4,0,0,0,0,0
College of Design and Eng,Architecture,AC5003,Urban Conservation and Regeneration,L1,15,21,15,0,6,0,0,0
College of Design and Eng,Architecture,AC5004,Architectural Heritage Management,L1,15,12,12,0,0,0,0,0
College of Design and Eng,Architecture,AC5005,Conservation Policy Methodology for Sustainable Development,L1,15,8,8,1,0,0,0,0
College of Design and Eng,Architecture,AC5008,Design for Conservation,L1,15,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AC5010,Historic Buildings Survey and Recording,L1,15,12,12,0,0,0,0,0
College of Design and Eng,Architecture,AC5012,Practical Building Conservation Skills I,L1,15,9,9,0,0,0,0,0
College of Design and Eng,Architecture,AC5014,Internship,L1,15,10,10,0,0,0,0,0
College of Design and Eng,Architecture,AR5011,Research Methodology,L1,18,2,0,0,0,0,0,2
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,45,36,34,0,0,0,0,2
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,44,35,35,0,0,0,0,0
College of Design and Eng,Architecture,AR5808,Final Design Project,D1,150,11,11,0,0,0,0,0
College of Design and Eng,Architecture,AR5955B,Topics in Research by Design 2,L1,8,7,7,0,0,0,0,0
College of Design and Eng,Architecture,AR5955C,Topics in Research by Design 3,L1,25,8,4,1,0,0,0,4
College of Design and Eng,Architecture,AR5955D,Topics in Research by Design 4,L1,24,12,6,0,3,0,0,3
College of Design and Eng,Architecture,AR5955E,Topics in Research by Design 5,L1,22,30,7,0,13,0,0,10
College of Design and Eng,Architecture,AR5957I,Topics in History and Theory of Architecture 9,L1,22,16,9,0,0,0,0,7
College of Design and Eng,Architecture,AR5958G,Topics in Urbanism 7,L1,23,29,15,0,6,0,0,8
College of Design and Eng,Architecture,AR5958H,Topics in Urbanism 8,L1,21,9,2,3,0,0,0,7
College of Design and Eng,Architecture,AR5958I,Topics in Urbanism 9,L1,23,18,10,1,0,0,0,8
College of Design and Eng,Architecture,AR5958J,Topics in Urbanism 10,L1,21,21,1,0,1,0,0,19
