Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful (Main),Successful (Reserve),Quota Exceeded,Timetable Clashes,Workload Exceeded,Others
College of Design and Eng,Built Environment,BPS5221,Microclimate Design,L1,41,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,BPS5223,Building Energy Performance - Passive Systems,L1,45,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,BPS5224,Building Energy Performance - Active Systems,L1,45,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,BPS5229,Data Science for the Built Environment,L1,42,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PM5103,CONTRACT MANAGEMENT,L1,100,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PM5106,DESIGN MANAGEMENT,L1,100,12,12,0,0,0,0,0
College of Design and Eng,Built Environment,PM5112,RESEARCH METHODS,L1,100,9,9,0,0,0,0,0
College of Design and Eng,Built Environment,PM5113,Managing Projects using BIM,L1,30,12,12,0,0,0,0,0
College of Design and Eng,Built Environment,PM5114,Managing Complex Projects,L1,100,16,16,0,0,0,0,0
College of Design and Eng,Built Environment,PM5116,Project Finance Case Studies,L1,100,20,20,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5010,Mathematical & Computing Methods for Chemical Engineers,L1,78,11,11,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5030,ADVANCED CHEMICAL ENGINEERING,L1,0,3,0,0,0,0,0,3
College of Design and Eng,Chemical & Biomolecular Eng,CN5160,Advanced Topics in Catalysis,L1,50,13,12,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN5162,ADVANCED POLYMERIC MATERIALS,L1,80,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5173,DOWNSTREAM PROCESSING OF BIOCHEMICAL & PHARMACEUTICAL PRODUCTS,L1,30,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5190,Hydrogen Energy and Technology,L1,30,21,21,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5191,Project Engineering,L1,30,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5192,Future Fuel Options: Prospects and Technologies,L1,48,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5216,Electronic Materials and Energy Technologies,L1,30,8,8,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5246,Catalysis Science and Engineering,L1,25,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5251,Membrane Science & Technology,L1,100,5,5,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN5432,Fundamentals and Applications of Porous Materials,L1,30,8,7,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,SH5002,Fundamentals in Industrial Safety,L1,59,29,29,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5103,Biosafety and Biosecurity,L1,60,40,40,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5104,OCCUPATIONAL HEALTH,L1,60,50,50,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5106,Radiation Safety,L1,60,20,20,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5107,Industrial Ventilation,L1,50,16,16,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5110,Chemical Hazard Evaluation,L1,40,19,19,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5202,Quantified Risk Analysis,L1,60,8,8,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5203,Resilience and Emergency Planning,L1,45,21,21,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5204,Industrial Safety Engineering,L1,50,14,14,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5206,Human Factors in Process Safety,L1,39,45,39,0,6,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5207,Process Safety Engineering,L1,45,32,32,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5402,"Advanced Safety, Health & Environment Management",L1,40,17,17,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,SH5406,Research Methodology,L1,54,13,13,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5721QA,Ocean Wind and Wave,L01,30,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,CE5721QB,Ocean Environmental Loads,L01,30,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,ESE5204,Toxic and Hazardous Waste Management,L01,60,1,1,0,0,0,0,0
College of Design and Eng,Civil & Environmental Eng,ESE6301,Advanced Environmental Microbiology and Biotechnology,L01,8,2,2,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5025,Intellectual Property: Innovations in IoT,L01,30,21,15,0,6,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5101,LINEAR SYSTEMS,L01,58,20,20,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5103,Computer Control Systems,L01,33,20,20,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5110,Special Topics in Automation and Control,L01,11,17,10,0,0,0,0,7
College of Design and Eng,Electrical & Computer Eng,EE5111,Selected Topics in Industrial Control & Instrumentation,L01,19,22,18,0,4,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5139,Information Theory and its Applications,L01,15,28,15,0,13,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5303,MICROWAVE ELECTRONICS,L01,21,22,16,0,6,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5308,ANTENNA ENGINEERING,L01,16,20,11,0,9,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5502,MOS DEVICES,L01,30,21,20,2,1,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5508,SEMICONDUCTOR FUNDAMENTALS,L01,22,6,6,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5518,VLSI DIGITAL CIRCUIT DESIGN,L01,26,27,22,0,5,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5702,ADVANCED POWER SYSTEM ANALYSIS,L01,21,8,8,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5703,Industrial Drives,L01,17,14,13,0,1,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5731,Visual Computing,L01,28,35,26,0,9,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5831,Electromagnetic Wave Theory,L01,19,14,14,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE5907,Pattern Recognition,L01,50,47,40,0,7,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE6110,Special Topics in Automation and Control (Advanced),L01,5,2,2,0,0,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE6139,Information Theory and its Applications (Advanced),L01,5,9,4,0,5,0,0,0
College of Design and Eng,Electrical & Computer Eng,EE6435,Advanced Concepts in Nanoelectronics,L01,12,7,6,0,1,0,0,0
