Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful_Main,Successful_Reserve,Quota_Exceeded,Timetable_Clashes,Workload_Exceeded,Others
Faculty of Arts & Social Sci,Chinese Studies,CH5213,Cognitive Linguistics & Chinese Language,S1,2147483647,5,5,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5223,SELECTED AUTHORS,S1,2147483647,5,5,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH5243,Contemporary China-Southeast Asia Relations,E1,19,4,4,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH6261,CHINESE STUDIES IN THE WEST,L1,2147483647,13,8,0,5,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CH6262,INDEPENDENT STUDY IN CHINESE STUDIES,L1,2147483647,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5102,Contemporary Research in Chinese Language,L1,15,10,10,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5303,Traditional Chinese Culture in Singapore and Malaysia,L1,1,4,1,0,3,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5304,Society and Culture of the Ming Dynasty,L1,25,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5305,Prominent Nanyang Chinese in Modern China,L1,4,4,4,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5305,Prominent Nanyang Chinese in Modern China,L2,7,8,7,0,1,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5306,"Chinese Intellectual History, 10th – 19th Century",L1,5,9,5,0,4,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5309,Economic & Management Thought in Pre-Modern China,L1,8,8,8,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5310,Chinese Rhapsody,L1,1,7,1,0,6,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5314,Chinese Religion,E1,1,5,1,0,4,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5322,Pragmatics and Politeness,L1,9,8,8,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5326,Comparative Grammar between Chinese and English,E1,7,2,2,1,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5332,Oral History Methodology: Theory and Practice,E1,8,10,8,0,2,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5333,Epidemics and Chinese Medicine,E1,2,2,2,0,0,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5337,Classical Chinese Landscape Poetry and Painting,E1,2,6,2,0,4,0,0,0
Faculty of Arts & Social Sci,Chinese Studies,CHC5338,Chinese Maritime Exploration and Cultural Exchange,E1,1,1,1,0,0,0,0,0
Faculty of Arts & Social Sci,Communications & New Media,NM5219,Critical Design,E1,12,3,0,0,0,0,0,3
Faculty of Arts & Social Sci,Communications & New Media,NM6104,Qualitative Research Methods in Communications and New Media,E1,15,7,7,0,0,0,0,0
Faculty of Arts & Social Sci,Communications & New Media,NM6770,GRADUATE RESEARCH SEMINAR,E1,10,6,6,0,0,0,0,0
Faculty of Arts & Social Sci,Communications & New Media,NMC5307,Final Year Project in Communication,E1,16,2,0,0,0,0,0,2
Faculty of Arts & Social Sci,Communications & New Media,NMC5322,Interactive Media Marketing Practices,E1,14,6,0,0,0,0,0,6
Faculty of Arts & Social Sci,Communications & New Media,NMC5323,Crisis Communications and Leadership,E1,12,9,0,0,0,0,0,9
Faculty of Arts & Social Sci,Communications & New Media,NMC5325,Managing Organisational Reputation,E1,17,6,0,0,0,0,0,6
Faculty of Arts & Social Sci,Communications & New Media,NMC5341,Visualising Data,E1,6,4,0,0,0,0,0,4
Faculty of Arts & Social Sci,Communications & New Media,NMC5343,Introduction to Audience Analytics,E1,18,2,0,0,0,0,0,2
Faculty of Arts & Social Sci,Communications & New Media,NMC5362,Media in Asia,E1,9,9,0,0,0,0,0,9
Faculty of Arts & Social Sci,Communications & New Media,NMC5364,"Digital Journalism, Law, and Society",E1,15,3,0,0,0,0,0,3
Faculty of Arts & Social Sci,Communications & New Media,NMC5368,"Media, Policy, and Markets",E1,30,7,0,0,0,0,0,7
Faculty of Arts & Social Sci,Economics,EC5326,Policy Impact Evaluation Methods,S1,37,15,15,0,0,0,0,0
