Faculty,Department,Code,Title,Class,Vacancy,Demand,Successful_Main,Successful_Reserve,Quota_Exceeded,Timetable_Clashes,Workload_Exceeded,Others
Coll. of Humanities & Sciences,Communications & New Media,HS2903,Sporting Bodies,L1,9,158,9,0,149,0,0,0
Coll. of Humanities & Sciences,"English,Ling.&Theatre Studies",HS2912,Polymaths: Innovating Between Art and Science,L1,7,62,7,0,55,0,0,0
College of Design and Eng,Architecture,AR1101,Design I,D1,150,68,68,0,0,0,0,0
College of Design and Eng,Architecture,AR2101,Design 3,D1,161,106,106,0,0,0,0,0
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,12,13,12,0,1,0,0,0
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,149,109,109,0,0,0,0,0
College of Design and Eng,Architecture,AR2328,Architectural Tectonics and Structural Systems,L1,123,67,67,0,0,0,0,0
College of Design and Eng,Architecture,AR3101,Design 5,D1,135,75,74,0,0,0,0,1
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,134,83,82,0,0,0,1,0
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,133,26,26,0,0,0,0,0
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,92,35,35,0,0,0,0,0
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,103,21,21,0,0,0,0,0
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,114,38,38,0,0,0,0,0
College of Design and Eng,Architecture,AR5801,Options Design Research Studio 1,D1,90,29,25,0,0,4,0,0
College of Design and Eng,Architecture,AR5951A,Topics in History and Theory of Architecture 1,L1,2,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5951B,Topics in History & Theory of Architecture 2,L1,3,2,2,0,0,0,0,0
College of Design and Eng,Architecture,AR5951C,Topics in History and Theory of Architecture 3,L1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,AR5951D,Topics in History & Theory of Architecture 4,E1,3,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5952A,Topics in Urbanism 1,L1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,AR5952B,Topics in Urbanism 2,L1,3,2,2,0,0,0,0,0
College of Design and Eng,Architecture,AR5952E,Topics in Urbanism 5,L1,5,2,2,0,0,0,0,0
College of Design and Eng,Architecture,AR5952G,Topics in Urbanism 7,L1,3,1,1,0,0,0,0,0
College of Design and Eng,Architecture,AR5953A,Topics in Design Technology 1,L1,3,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5953B,Topics in Design Technology 2,L1,3,6,3,0,3,0,0,0
College of Design and Eng,Architecture,AR5953C,Topics in Design Technology 3,L1,3,10,3,0,7,0,0,0
College of Design and Eng,Architecture,AR5953D,Topics in Design Technology 4,E1,3,3,3,0,0,0,0,0
College of Design and Eng,Architecture,AR5955F,Topics in Research by Design 6,L1,3,4,3,0,1,0,0,0
College of Design and Eng,Architecture,DEP5101,Urban Analysis Workshop,L1,5,5,5,0,0,0,0,0
College of Design and Eng,Architecture,DEP5101A,Qualitative Methods for Urban Planning,L1,5,5,5,0,0,0,0,0
College of Design and Eng,Architecture,LA5222,Urban Ecology and Design,L1,35,7,7,0,0,0,0,0
College of Design and Eng,Architecture,LAD1001,Design 1,L1,2,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD2004,Planting Design and Horticulture,L1,12,17,12,0,5,0,0,0
College of Design and Eng,Architecture,LAD2005,Introductory GIS for Landscape Architecture,L1,20,19,19,0,0,0,0,0
College of Design and Eng,Architecture,LAD2006,Design 3,L1,19,15,15,0,0,0,0,0
College of Design and Eng,Architecture,LAD3001,Design 5,L1,35,27,26,0,0,0,1,0
College of Design and Eng,Architecture,LAD3006,Basics of Ecology,L1,32,11,7,0,0,0,4,0
College of Design and Eng,Architecture,LAD4004,GeoDesign,L1,30,13,13,0,0,0,0,0
College of Design and Eng,Architecture,LAD4006,Digital Techniques In Landscape Architecture,L1,40,11,11,0,0,0,0,0
College of Design and Eng,Architecture,LAD4007,Political Eco and Land,L1,30,1,1,0,0,0,0,0
College of Design and Eng,Architecture,LAD4008,Design 7 (Emphasies on Ecological Design),L1,30,12,12,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4103,Assistive Technology for Persons with Disability,L1,35,27,27,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4301,Principles Of Tissue Engineering,L1,65,54,54,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4304,Engineering Strategies for Gene and Cell Manufacturing,L1,50,19,19,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4403,Cellular Bioengineering,L1,50,21,21,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4501,Engineering Biology,L1,67,33,33,0,0,0,0,0
College of Design and Eng,Biomedical Engineering,BN4701,Serious Games for Health,L1,43,42,42,0,0,0,0,0
College of Design and Eng,Built Environment,IPM1102,Infrastructure and Project Management Law,L1,95,42,42,0,0,0,0,0
College of Design and Eng,Built Environment,IPM2101,Introduction to Building Performance,L1,28,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,IPM2102,Construction Technology,L1,18,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,IPM3101,Project Feasibility,L1,23,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,IPM3102,Infrastructure and Facilities Management,L1,26,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,PF1101,Fundamentals of Project Management,L1,807,471,471,1,0,0,0,0
College of Design and Eng,Built Environment,PF1107,Infrastructure and Project Management Law,L1,20,10,10,0,0,0,0,0
College of Design and Eng,Built Environment,PF2102,Structural Systems,L1,18,1,1,0,0,0,0,0
College of Design and Eng,Built Environment,PF2107,Construction Technology,L1,39,18,18,1,0,0,0,0
College of Design and Eng,Built Environment,PF2109,Project Feasibility,L1,10,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,PF2205,Project Finance,L1,100,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PF3104,Project Execution,L1,42,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PF3105,Research Methods,L1,41,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PF3205,Advanced Measurement,L1,46,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,PF3208,Project Leadership,L1,82,3,3,0,0,0,0,0
College of Design and Eng,Built Environment,PF3209,Building Information Modelling,L1,58,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,PF3210,Total Building Performance,L1,53,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,PF3211,AI Applications for the Built Environment,L1,60,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,PF3307,Strategic Facilities Management,L1,51,2,2,0,0,0,0,0
College of Design and Eng,Built Environment,PF3504,Energy Management,L1,48,5,5,0,0,0,0,0
College of Design and Eng,Built Environment,PF4102,Contract and Procurement Management,L1,59,11,11,0,0,0,0,0
College of Design and Eng,Built Environment,PF4209,Construction Enterprise Management,L1,29,4,4,0,0,0,0,0
College of Design and Eng,Built Environment,PF4213,Building Energy Analysis and Simulation,L1,1,2,1,0,1,0,0,0
College of Design and Eng,Built Environment,PF4309,Infrastructure Operations and Maintenance,L1,36,5,5,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,CDE2501,Liveable Cities,L01,173,5,5,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,CDE3504,Smart Cities,L01,45,17,17,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,CDE3505,Planning and Governing Cities,L01,55,4,4,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,CDE4501,Topics in Challenges of Cities,L01,55,10,10,0,0,0,0,0
College of Design and Eng,CDE Dean's Office,EG1311,Design and Make,L1,51,58,51,0,7,0,0,0
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L1,105,79,78,2,0,0,0,1
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L2,59,163,59,0,104,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2103,Material and Energy Balances,L1,50,11,11,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2104,Chemical Engineering Thermodynamics,L1,65,25,25,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN2105,Reaction Engineering,L1,18,7,6,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN2106,Fluid Mechanics and Heat Transfer,L1,20,5,5,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S1,52,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S2,50,2,2,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN3103,Mass Transfer and Separation Processes,L1,22,8,7,0,0,0,0,1
College of Design and Eng,Chemical & Biomolecular Eng,CN3104,Computer-Aided Chemical Process Simulation,L1,37,25,25,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN3135,"Process Safety, Health and Environment",L1,30,1,1,0,0,0,0,0
College of Design and Eng,Chemical & Biomolecular Eng,CN4101,Process Control and Safety,L1,75,1,1,0,0,0,0,0
