Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
Coll. of Humanities & Sciences,Biochemistry,HSI2003,From DNA to Gene Therapy,L1,-1,-1,-1,-1,-1
Coll. of Humanities & Sciences,Biological Sciences,HSI2004,Cell Based Proteins for a Sustainable Future,L1,200,-1,-1,-1,-1
Coll. of Humanities & Sciences,FoS Dean's Office,HSI1000,"How Science Works, Why Science Works",L1,162,-1,-1,-1,-1
Coll. of Humanities & Sciences,Mathematics,HS1501,Artificial Intelligence and Society,L1,0,-1,-1,-1,-1
Coll. of Humanities & Sciences,Pharmacy,HSI2001,"Scientific Inquiry & Health: Good Science, Bad Science",L1,199,-1,-1,-1,-1
Coll. of Humanities & Sciences,Physics,HSI2008,A Brief History of Science & Why Things Often Go Wrong,L1,50,-1,-1,-1,-1
Coll. of Humanities & Sciences,Physics,HSI2009,What is a Planet?,L1,120,-1,-1,-1,-1
Coll. of Humanities & Sciences,South Asian Studies,HSA1000,Asian Interconnections,L1,131,-1,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN2001,Independent Study,L1,24,-1,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN2102,Bioengineering Data Analysis,L1,3,-1,-1,3,-1
College of Design and Eng,Biomedical Engineering,BN2111,Biomedical Engineering Principles and Practice II,L1,7,-1,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN2204,Fundamentals of Biomechanics,L1,12,-1,-1,1,-1
College of Design and Eng,Biomedical Engineering,BN2301,Biochemistry and Biomaterials for Bioengineers,L1,7,-1,-1,1,-1
College of Design and Eng,Biomedical Engineering,BN3301,Introduction To Biomaterials,L1,7,-1,-1,3,-1
College of Design and Eng,Biomedical Engineering,BN3402,Bio-Analytics for Engineers,L1,0,-1,-1,5,-1
College of Design and Eng,Biomedical Engineering,BN4101,B.Eng. Dissertation,L1,2147483647,-1,-1,2147483647,-1
College of Design and Eng,Biomedical Engineering,BN4102,Gerontechnology in Ageing,L1,15,-1,-1,3,-1
College of Design and Eng,Biomedical Engineering,BN4202,Biofluids Dynamics,L1,32,-1,-1,5,-1
College of Design and Eng,Biomedical Engineering,BN4203,Robotics in Rehabilitation,L1,0,-1,-1,3,-1
College of Design and Eng,Biomedical Engineering,BN4404,Bioelectromechanical Systems - Biomems,L1,0,-1,-1,4,-1
College of Design and Eng,Biomedical Engineering,BN4406,Biophotonics And Bioimaging,L1,0,-1,-1,1,-1
College of Design and Eng,Biomedical Engineering,BN5102,Clinical Instrumentation,L1,-1,1,-1,1,-1
College of Design and Eng,Biomedical Engineering,BN5201,Advanced Biomaterials,L1,0,9,-1,3,-1
College of Design and Eng,Biomedical Engineering,BN5203,ADVANCED TISSUE ENGINEERING,L1,0,29,-1,0,-1
College of Design and Eng,Biomedical Engineering,BN5207,MEDICAL IMAGING SYSTEMS,L1,5,27,-1,5,-1
College of Design and Eng,Biomedical Engineering,BN5513,Medical Device Regulation in ASEAN and AsiaPacific,L1,-1,40,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN5666,Industrial Attachment,L1,-1,9,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN5999,GRADUATE SEMINARS,E1,-1,74,-1,-1,-1
College of Design and Eng,Biomedical Engineering,BN6202,Advanced Human Motion Biomechanics,L1,-1,20,-1,2,-1
College of Design and Eng,Biomedical Engineering,BN6401,Advanced Quantitative Fluorescence Microscopy,L1,-1,7,-1,1,-1
College of Design and Eng,Biomedical Engineering,BN6999,DOCTORAL SEMINARS,E1,-1,64,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG1311,Design and Make,L1,87,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2101,Pathways to Engineering Leadership,L1,29,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L1,0,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2401A,Engineering Professionalism,L2,6,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2501,Liveable Cities,L01,129,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2604,Innovation Programme,L1,0,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2701A,Aspirational Project I,L1,20,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG2701B,Aspirational Project II,L1,10,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG3611B,Industrial Attachment,L1,1000,-1,-1,-1,-1
College of Design and Eng,CDE Dean's Office,EG5911,Research Methodology & Ethics,L1,-1,130,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN2102,Chemical Engineering Principles and Practice II,L1,103,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN2116,Chemical Kinetics & Reactor Design,L1,120,-1,-1,2,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN2121,Chemical Engineering Thermodynamics,L1,12,-1,-1,5,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN2122,Fluid Mechanics,L1,4,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN2122A,Fluid Mechanics,L1,8,-1,-1,7,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN2125,Heat & Mass Transfer,L1,110,-1,-1,3,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S1,30,-1,-1,0,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S2,19,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3101A,Chemical Engineering Process Lab,S3,18,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3102,Chemical Engineering Process Lab II,S1,21,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3102,Chemical Engineering Process Lab II,S2,31,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3109,Chemical Engineering Process Laboratory III,S1,20,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3121,Process Dynamics & Control,L1,15,-1,-1,8,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3124A,Fluid-Particle Systems,L1,86,-1,-1,12,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3132,Separation Processes,L1,24,-1,-1,12,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3135,"Process Safety, Health and Environment",L1,0,-1,-1,5,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN3421A,Process Modeling And Numerical Simulation,L1,7,-1,-1,7,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN4118,B.Eng. Dissertation,L1,23,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN4118N,Capstone Research Project,L1,-1,-1,-1,2147483647,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN4122,Process Synthesis and Simulation,L1,10,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN4122N,Process Synthesis and Simulation,L1,2147483647,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN4123R,Final Year Design Project,L1,53,-1,-1,-1,-1
College of Design and Eng,Chemical & Biomolecular Eng,CN4221R,Control of Industrial Processes,L1,0,-1,-1,0,-1
