Faculty,Department,Code,Title,Class,UG,GD,DK,NG,CPE
Coll. of Humanities & Sciences,Communications & New Media,HS2903,Sporting Bodies,L1,250,x,x,x,x
Coll. of Humanities & Sciences,"English,Ling.&Theatre Studies",HS2912,Polymaths: Innovating Between Art and Science,L1,100,x,x,x,x
College of Design and Eng,Architecture,AC5001,Architectural History of Singapore,L1,x,30,x,x,x
College of Design and Eng,Architecture,AC5002,Conservation Approaches and Philosophies,L1,x,30,x,x,x
College of Design and Eng,Architecture,AC5006,Disaster Risk Management of Cultural Heritage,L1,x,30,x,x,x
College of Design and Eng,Architecture,AC5006,Disaster Risk Management of Cultural Heritage,L2,x,20,x,x,x
College of Design and Eng,Architecture,AC5007,Dissertation,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5009,Design for Adaptive Reuse,L1,x,20,x,x,x
College of Design and Eng,Architecture,AC5011,Conservation of C20th Buildings,L1,x,30,x,x,x
College of Design and Eng,Architecture,AC5013,Practical Building Conservation Skills II,L1,x,30,x,x,x
College of Design and Eng,Architecture,AC5014,Internship,L1,x,18,x,x,x
College of Design and Eng,Architecture,AR1101,Design I,D1,150,x,x,x,x
College of Design and Eng,Architecture,AR2101,Design 3,D1,162,x,x,3,x
College of Design and Eng,Architecture,AR2225,Reading Visual Images,L1,15,x,x,10,x
College of Design and Eng,Architecture,AR2228,History & Theory of Architecture II,L1,150,x,x,x,x
College of Design and Eng,Architecture,AR2328,Architectural Tectonics and Structural Systems,L1,180,x,x,x,x
College of Design and Eng,Architecture,AR3101,Design 5,D1,140,x,x,20,x
College of Design and Eng,Architecture,AR3223,Introduction to Urbanism,L1,135,x,x,15,x
College of Design and Eng,Architecture,AR4955,Topics in Architectural Design,E1,10,x,x,x,x
College of Design and Eng,Architecture,AR5011,Research Methodology,L1,x,15,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L1,x,150,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L10,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L11,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L12,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L13,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L14,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L15,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L16,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L17,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L18,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L19,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L2,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L20,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L3,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L4,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L5,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L6,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L7,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L8,x,5,x,x,x
College of Design and Eng,Architecture,AR5121,SPECIAL TOPICS IN TECHNOLOGY,L9,x,5,x,x,x
College of Design and Eng,Architecture,AR5221,CONTEMPORARY THEORIES,L1,x,150,x,x,x
College of Design and Eng,Architecture,AR5321,Advanced Architectural Integration,L1,x,140,x,10,x
College of Design and Eng,Architecture,AR5323,Well & Green Built Environment,L1,x,25,x,x,x
College of Design and Eng,Architecture,AR5423,Architectural Practice,L1,x,150,x,x,x
College of Design and Eng,Architecture,AR5601,Urban Design Theory and Praxis,L1,x,150,x,x,x
College of Design and Eng,Architecture,AR5770,GRADUATE SEMINAR,L1,x,30,x,x,x
College of Design and Eng,Architecture,AR5801,Options Design Research Studio 1,D1,x,135,x,15,x
College of Design and Eng,Architecture,AR5802,Options Design Research Studio 2,D1,x,10,x,x,x
